Osmocom TAC database under CC-BY-SA v3.0 (c) Harald Welte 2016,
tac,model,model2
35795303,SGH-S5230
35795601,SGH-G800
35796801,SGH-G800
35798101,SGH-F250
35799102,SGH-T229
35799900,SGH-N710
35801301,SGH-E900
35801401,SGH-D900i
35806200,SGH-D500
35807600,SGH-X150
35808102,SGH-S3310
35810501,SGH-U600
35811800,SGH-X660
35812301,SGH-i560
35812801,SGH-F700
35813202,SGH-S3500
35813401,SGH-C426
35813602,SGH-T919 Behold
35815800,SGH-D347
35815801,SGH-A517
35815900,SGH-D600
35817600,SGH-X156
35817601,SGH-M110
35817700,SGH-X620
35817800,SGH-X636
35819200,SGH-X497
35821001,SGH-C620
35822401,SGH-C180
35822402,SGH-L700
35827301,SGH-L170
35827700,SGH-E700
35829401,SGH-A437
35829501,SGH-E250
35829601,SGH-E250
35829701,SGH-E250
35829801,SGH-E250
35829901,SGH-A707
35839802,SGH-B300
35840202,SGH-D880
35840302,SGH-C300
35840402,SGH-M620
35840502,SGH-C260
35844102,SGH-E1410
35844202,A767 Propel
35844401,SGH-F700
35844402,SGH-E1117
35846400,SGH-Z540V
35848702,SGH-E1110
35851900,SGH-D807
35855400,SGH-D600
35856401,SGH-C450
35856702,SGH-B2100
35857200,SGH-E770
35862201,SGH-i560
35864600,SCH-I830
35868901,SGH-E747
35871902,SGH-E250
35872002,SGH-J700
35873102,SGH-A437
35873300,SGH-X497
35873602,SGH-T919 Behold
35874102,i8910 Omnia HD
35880301,SGH-U100 Ultra Edition II
35880701,SGH-J200
35889400,SGH-E600
35892202,SGH-L700
35892402,SGH-S3600
35894901,SGH-E210
35895500,SGH-P200
35901600,SGH-Z150
35901700,SGH-i300
35901800,SGH-E770
35903600,SGH-T509
35904002,SGH-B130
35904102,SGH-E250
35904302,S8300 UltraTOUCH
35908101,SGH-i450
35909800,SGH-E700
35910301,SGH-B100
35911300,SGH-X460
35913600,SGH-E700
35915000,SGH-E700
35917400,SGH-P910
35919701,SGH-E250
35921700,SGH-X630
35924001,SGH-E840
35926801,SGH-E250
35927001,SGH-T639
35927201,SGH-E700
35929100,SGH-C120
35931200,SGH-ZV40
35932401,SGH-A517
35943000,SGH-P900
35943601,SGH-D900i
35945801,i607 BlackJack
35949202,SGH-S5050 P
35949602,SGH-E250
35954800,SGH-Z540
35959301,SGH-X576
35959302,SGH-E250
35960000,SGH-T209
35960200,SGH-T209
35960300,SGH-T209
35960400,SGH-T319
35960500,SGH-T319
35962601,SGH-E840
35963700,SGH-E500
35965402,SGH-F480
35967301,SGH-A737
35968801,SGH-E250
35969302,SGH-J700
35969601,SGH-U700 Ultra Edition II
35975001,SGH-E900
35976101,SGH-D900i
35977101,SGH-C170
35977201,SGH-C260
35977301,SGH-C260
35977401,SGH-C520
35977601,SGH-E250
35977701,SGH-J600
35978300,SGH-X160
35978801,SGH-F250
35980402,SGH-E1120
35984300,SGH-X460
35985600,SGH-T509
35987002,SGH-B270
35987200,SGH-X820
35991000,SGH-X680
35991301,SGH-J700
35991501,SGH-U600
36367102,SGH-C260
35000000,SM-J700F
35170507,SM-G530FZ
35170807,SM-G800F
35175104,GT-I9000
35177606,SM-N9005
35188106,SM-G900T
35194106,GT-I9300
35200505,GT-I9300
35205205,GT-S6500D
35212306,SM-G7105
35214807,SM-G920F
35216705,Galaxy Note N7000
35218405,GT-I9070
35230206,GT-S7392
35231506,GT-I9305
35246707,SM-G318HZ
35255806,SM-G900F
35260505,GT-I9100
35261206,GT-I9300
35270205,SGH-I547
35283007,SM-J100H
35283207,SM-G530H
35283606,GT-I9505
